input,output
diego is a bright boy a pleasure to teach but so serious brothers should be raised together colon even brothers from different mothers,father i am doing what i think is the best for him and he has the teacher i would have chosen for myself
god thats in a week,thats what it says
thats what it says,how did you manage it
how did you manage it,with some difficulty i had to promise them you were not a total fool
why do you wish to sail west,to open a new route to asia at the moment there are only two ways of reaching it
how can you be so certain the ocean is said to be infinite,ignorance i believe the indies are no more than leagues west of the canary islands
ignorance i believe the indies are no more than leagues west of the canary islands,how can you be so certain
how can you be so certain,the calculations of toscanelli marin de tyr esdras
the calculations of toscanelli marin de tyr esdras,esdras is a jew
esdras is a jew,so was christ
two minutes and already youre a dead man dont let passion overwhelm you colon,ill try to remember that marchena
ill try to remember that marchena,father marchena
father marchena,passion is something one cannot control
passion is something one cannot control,you get so carried away when you are being contradicted
you get so carried away when you are being contradicted,ive been contradicted all my life eternity
ive been contradicted all my life eternity,only god knows the meaning of such words my son
you mustnt give way to despair you must wait,wait ive waited seven years already how much longer do you want me to wait
wait ive waited seven years already how much longer do you want me to wait,if god intends you to go then you will go
if god intends you to go then you will go,damn god
colon,damn all of you you all set up theories based on what you never leave the safety of your studies go out find out what the world is about and then tell me something i can listen to
all of them just lies,colon dont
in nomine patris et filius et spiritus sancti,forgive me father for i have sinned
